"province","date","confirmed","deaths","recovered","tested","ICU","hospital","population","Lat","Long","confirmed_dailyAvg7","confirmed_1M","deaths_dailyAvg7","deaths_1M","caseFatality","recovered_dailyAvg7","recovered_1M","tested_daily","tested_1M"
"Ontario",2020-04-03,3686,103,1023,66753,194,462,14446515,51.2538,-85.3232,384.714285714286,255.148040894292,12.1428571428571,7.12974720892894,2.79435702658709,145,70.8129261624689,4020,4620.69917900615
"Prince Edward Island",2020-04-03,22,0,4,1099,0,0,154748,46.5107,-63.4168,1.57142857142857,142.166619277794,0,0,0,0.428571428571429,25.8484762323261,141,7101.8688448316
"Quebec",2020-04-03,6101,61,306,87803,107,441,8433301,52.9399,-73.5491,582.857142857143,723.441508846892,6.14285714285714,7.23322931317167,0.999836092443862,39.5714285714286,36.2847240955825,8390,10411.4628423674
"Repatriated",2020-04-03,13,0,12,0,0,0,0,0,0,0,Inf,0,NA,0,1.42857142857143,Inf,0,NA
"Saskatchewan",2020-04-03,220,3,48,12112,1,3,1168423,52.9399,-106.4509,16.5714285714286,188.287974474997,0.428571428571429,2.56756328829542,1.36363636363636,6.42857142857143,41.0810126127267,717,10366.108849278
"Yukon",2020-04-03,6,0,4,753,0,0,40369,64.2823,-135,0.285714285714286,148.628898412148,0,0,0,0.571428571428571,99.0859322747653,31,18652.9267507246
"Canada",2020-04-03,12980,223,2335,307590,393,1137,37949851,56.130367,-106.346771,1174.71428571429,342.030328393121,24,5.87617590382634,1.71802773497689,282.714285714286,61.5285683203341,21725,8105.17016259168
"Alberta",2020-04-04,1181,20,196,64108,20,48,4345737,53.9333,-116.5765,80,271.760578240239,2.57142857142857,4.60221131651547,1.69348010160881,20.4285714285714,45.1016709018516,2148,14751.9281539587
"British Columbia",2020-04-04,1203,38,704,48508,68,149,5020302,53.7267,-127.6476,45.5714285714286,239.627018454268,3,7.56926575333516,3.15876974231089,44,140.230607640736,1156,9662.36692533636
"Manitoba",2020-04-04,194,2,17,12514,6,10,1360396,53.7609,-98.8139,18.5714285714286,142.605535447032,0.142857142857143,1.47016015924775,1.03092783505155,2.42857142857143,12.4963613536059,562,9198.79211641316
"New Brunswick",2020-04-04,98,0,28,5348,0,0,772094,46.5653,-66.4619,4.57142857142857,126.927550272376,0,0,0,3.71428571428571,36.265014363536,442,6926.61774343538
"Newfoundland and Labrador",2020-04-04,203,1,18,3386,0,11,523790,53.1355,-57.6604,11.8571428571429,387.559899959908,0.142857142857143,1.90916206876802,0.492610837438424,2,34.3649172378243,185,6464.42276484851
"Nova Scotia",2020-04-04,236,0,50,9200,0,4,965382,44.682,-63.7443,18,244.462813684117,0,0,0,6.57142857142857,51.7929690008722,759,9529.90629616048
"Northwest Territories",2020-04-04,4,0,1,1280,0,0,44598,64.8255,-124.8457,0.428571428571429,89.6901206332123,0,0,0,0.142857142857143,22.4225301583031,22,28700.8386026279
"Ontario",2020-04-04,4021,133,1219,71338,196,506,14446515,51.2538,-85.3232,411,278.337024534983,16.2857142857143,9.20637260958785,3.30763491668739,173,84.3802121134405,4585,4938.07676107352
"Prince Edward Island",2020-04-04,22,0,6,1268,0,0,154748,46.5107,-63.4168,1.57142857142857,142.166619277794,0,0,0,0.714285714285714,38.7727143484892,169,8193.96696564737
"Quebec",2020-04-04,6997,75,437,94106,130,478,8433301,52.9399,-73.5491,642.714285714286,829.686975479708,7.57142857142857,8.89331472930944,1.07188795197942,58.2857142857143,51.818380489443,6303,11158.8570122186
"Repatriated",2020-04-04,13,0,13,0,0,0,0,0,0,0,Inf,0,NA,0,1.28571428571429,Inf,0,NA
"Saskatchewan",2020-04-04,231,3,55,12670,1,4,1168423,52.9399,-106.4509,13.8571428571429,197.702373198747,0.428571428571429,2.56756328829542,1.2987012987013,7.28571428571429,47.0719936187494,558,10843.675620901
"Yukon",2020-04-04,6,0,4,753,0,0,40369,64.2823,-135,0.285714285714286,148.628898412148,0,0,0,0.571428571428571,99.0859322747653,0,18652.9267507246
"Canada",2020-04-04,14409,272,2748,324479,421,1210,37949851,56.130367,-106.346771,1250.57142857143,379.685285193873,30.1428571428571,7.16735356879267,1.88770907071969,320.428571428571,72.4113514964789,16889,8550.2048479716
"Alberta",2020-04-05,1250,23,279,65093,20,45,4345737,53.9333,-116.5765,84.1428571428571,287.638207282217,2.85714285714286,5.29254301399279,1.84,29.4285714285714,64.2008478653908,985,14978.5870612971
"British Columbia",2020-04-05,1203,38,704,48508,70,137,5020302,53.7267,-127.6476,45.5714285714286,239.627018454268,3,7.56926575333516,3.15876974231089,44,140.230607640736,0,9662.36692533636
"Manitoba",2020-04-05,203,2,17,12998,7,17,1360396,53.7609,-98.8139,18.7142857142857,149.221256163646,0.142857142857143,1.47016015924775,0.985221674876847,2.14285714285714,12.4963613536059,484,9554.57087495112
"New Brunswick",2020-04-05,101,0,28,5543,0,0,772094,46.5653,-66.4619,4.71428571428571,130.813087525612,0,0,0,3.71428571428571,36.265014363536,195,7179.17766489573
"Newfoundland and Labrador",2020-04-05,217,1,28,3565,0,10,523790,53.1355,-57.6604,11.7142857142857,414.28816892266,0.142857142857143,1.90916206876802,0.460829493087558,3.42857142857143,53.4565379255045,179,6806.16277515798
"Nova Scotia",2020-04-05,262,0,53,9772,0,6,965382,44.682,-63.7443,20,271.39515756457,0,0,0,6.57142857142857,54.9005471409245,572,10122.4178615305
"Northwest Territories",2020-04-05,4,0,1,1301,0,0,44598,64.8255,-124.8457,0.428571428571429,89.6901206332123,0,0,0,0.142857142857143,22.4225301583031,21,29171.7117359523
"Ontario",2020-04-05,4441,141,1449,75046,200,523,14446515,51.2538,-85.3232,440.857142857143,307.409780144208,16.8571428571429,9.76013938309689,3.17496059446071,205.857142857143,100.301006851826,3708,5194.74766059496
"Prince Edward Island",2020-04-05,22,0,6,1268,0,0,154748,46.5107,-63.4168,1.57142857142857,142.166619277794,0,0,0,0.714285714285714,38.7727143484892,0,8193.96696564737
"Quebec",2020-04-05,7944,94,464,98783,154,525,8433301,52.9399,-73.5491,729.142857142857,941.979896128455,10.2857142857143,11.1462877940678,1.18328298086606,54.2857142857143,55.0199737919944,4677,11713.4441187383
"Repatriated",2020-04-05,13,0,13,0,0,0,0,0,0,0,Inf,0,NA,0,1.28571428571429,Inf,0,NA
"Saskatchewan",2020-04-05,249,3,67,13528,2,4,1168423,52.9399,-106.4509,13.2857142857143,213.10775292852,0.428571428571429,2.56756328829542,1.20481927710843,8.42857142857143,57.3422467719311,858,11577.9987213535
"Yukon",2020-04-05,6,0,4,753,0,0,40369,64.2823,-135,0.285714285714286,148.628898412148,0,0,0,0.571428571428571,99.0859322747653,0,18652.9267507246
"Canada",2020-04-05,15915,302,3113,336158,453,1267,37949851,56.130367,-106.346771,1370.71428571429,419.369235468145,33.7142857142857,7.95787050652715,1.89758089852341,360.571428571429,82.0293075722484,11679,8857.95309183164
"Alberta",2020-04-06,1348,24,361,65914,18,47,4345737,53.9333,-116.5765,94,310.189042733143,2.28571428571429,5.52265357981857,1.78041543026706,38.1428571428571,83.0699142631043,821,15167.50783584
"British Columbia",2020-04-06,1266,39,783,50350,72,140,5020302,53.7267,-127.6476,42.2857142857143,252.176064308482,2.85714285714286,7.76845695737029,3.08056872037915,44.8571428571429,155.966712759511,1842,10029.2771231691
"Manitoba",2020-04-06,204,2,17,13476,7,11,1360396,53.7609,-98.8139,15.4285714285714,149.95633624327,0.142857142857143,1.47016015924775,0.980392156862745,2.14285714285714,12.4963613536059,478,9905.93915301133
"New Brunswick",2020-04-06,103,0,30,5808,3,7,772094,46.5653,-66.4619,4.71428571428571,133.403445694436,0,0,0,3,38.8553725323601,265,7522.40012226491
"Newfoundland and Labrador",2020-04-06,226,2,32,3776,0,8,523790,53.1355,-57.6604,11.1428571428571,431.470627541572,0.142857142857143,3.81832413753604,0.884955752212389,3.57142857142857,61.0931862005766,211,7208.99597166804
"Nova Scotia",2020-04-06,293,0,64,10511,0,10,965382,44.682,-63.7443,23.7142857142857,303.506798345111,0,0,0,7.71428571428571,66.2950003211164,739,10887.9179433634
"Northwest Territories",2020-04-06,5,0,1,1308,0,0,44598,64.8255,-124.8457,0.571428571428571,112.112650791515,0,0,0,0.142857142857143,22.4225301583031,7,29328.6694470604
"Ontario",2020-04-06,4845,162,1624,78796,216,589,14446515,51.2538,-85.3232,448.428571428571,335.375002206414,18.2857142857143,11.2137771635581,3.34365325077399,170.428571428571,112.414655022336,3750,5454.32583567732
"Prince Edward Island",2020-04-06,22,0,8,1374,0,0,154748,46.5107,-63.4168,0.571428571428571,142.166619277794,0,0,0,1,51.6969524646522,106,8878.95158580402
"Quebec",2020-04-06,8580,121,611,103055,164,533,8433301,52.9399,-73.5491,735.714285714286,1017.395205033,13.7142857142857,14.3478810966192,1.41025641025641,75.2857142857143,72.4508706614409,4272,12220.0073257198
"Repatriated",2020-04-06,13,0,13,0,0,0,0,0,0,0,Inf,0,NA,0,0.714285714285714,Inf,0,NA
"Saskatchewan",2020-04-06,253,3,81,14178,2,4,1168423,52.9399,-106.4509,11,216.531170646247,0.142857142857143,2.56756328829542,1.18577075098814,9.57142857142857,69.3242087839764,650,12134.3041004842
"Yukon",2020-04-06,7,0,4,775,0,0,40369,64.2823,-135,0.285714285714286,173.400381480839,0,0,0,0.571428571428571,99.0859322747653,22,19197.8993782358
"Canada",2020-04-06,17165,353,3629,349321,482,1349,37949851,56.130367,-106.346771,1388.14285714286,452.307441207081,37.5714285714286,9.30174930067578,2.05651034080979,358.142857142857,95.6261989012816,13163,9204.80557354494
"Alberta",2020-04-07,1373,26,447,67117,16,48,4345737,53.9333,-116.5765,88.4285714285714,315.941806878787,2.42857142857143,5.98287471147011,1.89366351056082,46.7142857142857,102.859422924121,1203,15444.3308465284
"British Columbia",2020-04-07,1291,43,805,51423,66,138,5020302,53.7267,-127.6476,39.7142857142857,257.15584440936,2.71428571428571,8.56522177351084,3.33075135553834,42.5714285714286,160.348919248284,1073,10243.0092850988
"Manitoba",2020-04-07,217,3,21,14280,6,12,1360396,53.7609,-98.8139,16.2857142857143,159.512377278381,0.285714285714286,2.20524023887162,1.38248847926267,2.42857142857143,15.4366816721014,804,10496.9435370289
"New Brunswick",2020-04-07,105,0,39,6112,4,7,772094,46.5653,-66.4619,3.42857142857143,135.99380386326,0,0,0,3.57142857142857,50.5119842920681,304,7916.13456392615
"Newfoundland and Labrador",2020-04-07,228,2,49,3958,0,7,523790,53.1355,-57.6604,10.8571428571429,435.288951679108,0.142857142857143,3.81832413753604,0.87719298245614,6,93.5489413696329,182,7556.46346818381
"Nova Scotia",2020-04-07,310,1,66,10931,0,11,965382,44.682,-63.7443,23.2857142857143,321.116407805408,0.142857142857143,1.03585938001744,0.32258064516129,8,68.3667190811513,420,11322.9788829707
"Northwest Territories",2020-04-07,5,0,1,1378,0,0,44598,64.8255,-124.8457,0.571428571428571,112.112650791515,0,0,0,0.142857142857143,22.4225301583031,70,30898.2465581416
"Ontario",2020-04-07,5391,189,1802,81364,233,614,14446515,51.2538,-85.3232,489.285714285714,373.169584498407,18.7142857142857,13.0827400241512,3.50584307178631,181.142857142857,124.735965732912,2568,5632.08496997373
"Prince Edward Island",2020-04-07,22,0,8,1482,0,0,154748,46.5107,-63.4168,0.142857142857143,142.166619277794,0,0,0,1,51.6969524646522,108,9576.86044407682
"Quebec",2020-04-07,9340,150,720,106998,164,583,8433301,52.9399,-73.5491,739.714285714286,1107.51412762334,17,17.7866294586189,1.60599571734475,90.8571428571428,85.3758214013706,3943,12687.558525422
"Repatriated",2020-04-07,13,0,13,0,0,0,0,0,0,0,Inf,0,NA,0,0.571428571428571,Inf,0,NA
"Saskatchewan",2020-04-07,260,3,88,14722,2,7,1168423,52.9399,-106.4509,10.8571428571429,222.52215165227,0.142857142857143,2.56756328829542,1.15384615384615,9.57142857142857,75.315189789999,544,12599.8889100951
"Yukon",2020-04-07,7,0,4,775,0,0,40369,64.2823,-135,0.285714285714286,173.400381480839,0,0,0,0.571428571428571,99.0859322747653,0,19197.8993782358
"Canada",2020-04-07,18562,417,4063,360540,491,1427,37949851,56.130367,-106.346771,1424.42857142857,489.119179940917,41.5714285714286,10.9881854345093,2.24652515892684,393.857142857143,107.06234393384,11219,9500.43255769305
"Alberta",2020-04-08,1423,29,519,68762,16,51,4345737,53.9333,-116.5765,78.8571428571429,327.447335170076,2.57142857142857,6.67320640894744,2.03794799718904,53.8571428571429,119.427383663577,1645,15822.8627273118
"British Columbia",2020-04-08,1336,48,838,52412,61,135,5020302,53.7267,-127.6476,38.5714285714286,266.119448590941,3.28571428571429,9.56117779368651,3.59281437125748,33.1428571428571,166.922228981444,989,10440.0093858895
"Manitoba",2020-04-08,221,3,69,14708,6,12,1360396,53.7609,-98.8139,13.4285714285714,162.452697596876,0.285714285714286,2.20524023887162,1.35746606334842,9.28571428571428,50.7205254940473,428,10811.5578111079
"New Brunswick",2020-04-08,108,0,50,6549,4,6,772094,46.5653,-66.4619,2.42857142857143,139.879341116496,0,0,0,4,64.7589542206001,437,8482.1278238142
"Newfoundland and Labrador",2020-04-08,232,2,74,4149,0,6,523790,53.1355,-57.6604,8.14285714285714,442.92559995418,0.142857142857143,3.81832413753604,0.862068965517241,9.14285714285714,141.277993088833,191,7921.11342331851
"Nova Scotia",2020-04-08,342,1,77,11688,0,11,965382,44.682,-63.7443,24.1428571428571,354.263907965966,0.142857142857143,1.03585938001744,0.292397660818713,9.42857142857143,79.7611722613432,757,12107.1244336439
